Samling;Nr;Titel;Dato;PDF;
19602;73;Referat af møde nr. 73 den 4. maj 1961 kl. 13:00;04-05-1961;https://www.folketingstidende.dk/samling/19602/salen/M73/19602_M73_referat.pdf;
19602;72;Referat af møde nr. 72 den 3. maj 1961 kl. 13:00;03-05-1961;https://www.folketingstidende.dk/samling/19602/salen/M72/19602_M72_referat.pdf;
19602;71;Referat af møde nr. 71 den 2. maj 1961 kl. 16:45;02-05-1961;https://www.folketingstidende.dk/samling/19602/salen/M71/19602_M71_referat.pdf;
19602;70;Referat af møde nr. 70 den 2. maj 1961 kl. 14:00;02-05-1961;https://www.folketingstidende.dk/samling/19602/salen/M70/19602_M70_referat.pdf;
19602;69;Referat af møde nr. 69 den 27. april 1961 kl. 13:00;27-04-1961;https://www.folketingstidende.dk/samling/19602/salen/M69/19602_M69_referat.pdf;
19602;68;Referat af møde nr. 68 den 26. april 1961 kl. 13:00;26-04-1961;https://www.folketingstidende.dk/samling/19602/salen/M68/19602_M68_referat.pdf;
19602;67;Referat af møde nr. 67 den 25. april 1961 kl. 15:00;25-04-1961;https://www.folketingstidende.dk/samling/19602/salen/M67/19602_M67_referat.pdf;
19602;66;Referat af møde nr. 66 den 25. april 1961 kl. 14:00;25-04-1961;https://www.folketingstidende.dk/samling/19602/salen/M66/19602_M66_referat.pdf;
19602;65;Referat af møde nr. 65 den 21. april 1961 kl. 13:00;21-04-1961;https://www.folketingstidende.dk/samling/19602/salen/M65/19602_M65_referat.pdf;
19602;64;Referat af møde nr. 64 den 20. april 1961 kl. 13:00;20-04-1961;https://www.folketingstidende.dk/samling/19602/salen/M64/19602_M64_referat.pdf;
19602;63;Referat af møde nr. 63 den 19. april 1961 kl. 13:00;19-04-1961;https://www.folketingstidende.dk/samling/19602/salen/M63/19602_M63_referat.pdf;
19602;62;Referat af møde nr. 62 den 18. april 1961 kl. 14:00;18-04-1961;https://www.folketingstidende.dk/samling/19602/salen/M62/19602_M62_referat.pdf;
19602;61;Referat af møde nr. 61 den 14. april 1961 kl. 13:00;14-04-1961;https://www.folketingstidende.dk/samling/19602/salen/M61/19602_M61_referat.pdf;
19602;60;Referat af møde nr. 60 den 13. april 1961 kl. 13:00;13-04-1961;https://www.folketingstidende.dk/samling/19602/salen/M60/19602_M60_referat.pdf;
19602;59;Referat af møde nr. 59 den 12. april 1961 kl. 13:00;12-04-1961;https://www.folketingstidende.dk/samling/19602/salen/M59/19602_M59_referat.pdf;
19602;58;Referat af møde nr. 58 den 11. april 1961 kl. 14:00;11-04-1961;https://www.folketingstidende.dk/samling/19602/salen/M58/19602_M58_referat.pdf;
